p,Points_0,Points_1,Points_2,U_0,U_1,U_2
-1.105184e-02,1.030000e-01,5.000000e-01,5.000000e-02,-1.455054e-02,9.474391e-02,0.000000e+00
-1.107175e-02,1.040000e-01,5.000000e-01,5.000000e-02,-1.480570e-02,9.533713e-02,0.000000e+00
-1.109166e-02,1.050000e-01,5.000000e-01,5.000000e-02,-1.506086e-02,9.593034e-02,0.000000e+00
-1.111156e-02,1.060000e-01,5.000000e-01,5.000000e-02,-1.531601e-02,9.652355e-02,0.000000e+00
-1.113147e-02,1.070000e-01,5.000000e-01,5.000000e-02,-1.557117e-02,9.711677e-02,0.000000e+00
-1.115138e-02,1.080000e-01,5.000000e-01,5.000000e-02,-1.582633e-02,9.770998e-02,0.000000e+00
-1.117129e-02,1.090000e-01,5.000000e-01,5.000000e-02,-1.608149e-02,9.830319e-02,0.000000e+00
-1.119115e-02,1.100000e-01,5.000000e-01,5.000000e-02,-1.634419e-02,9.887157e-02,0.000000e+00
-1.121098e-02,1.110000e-01,5.000000e-01,5.000000e-02,-1.661142e-02,9.942505e-02,0.000000e+00
-1.123081e-02,1.120000e-01,5.000000e-01,5.000000e-02,-1.687865e-02,9.997853e-02,0.000000e+00
-1.125065e-02,1.130000e-01,5.000000e-01,5.000000e-02,-1.714588e-02,1.005320e-01,0.000000e+00
-1.127048e-02,1.140000e-01,5.000000e-01,5.000000e-02,-1.741311e-02,1.010855e-01,0.000000e+00
-1.129031e-02,1.150000e-01,5.000000e-01,5.000000e-02,-1.768034e-02,1.016390e-01,0.000000e+00
-1.131015e-02,1.160000e-01,5.000000e-01,5.000000e-02,-1.794756e-02,1.021924e-01,0.000000e+00
-1.132998e-02,1.170000e-01,5.000000e-01,5.000000e-02,-1.821479e-02,1.027459e-01,0.000000e+00
-1.134986e-02,1.180000e-01,5.000000e-01,5.000000e-02,-1.849124e-02,1.032682e-01,0.000000e+00
-1.136974e-02,1.190000e-01,5.000000e-01,5.000000e-02,-1.876982e-02,1.037833e-01,0.000000e+00
-1.138963e-02,1.200000e-01,5.000000e-01,5.000000e-02,-1.904839e-02,1.042984e-01,0.000000e+00
-1.140951e-02,1.210000e-01,5.000000e-01,5.000000e-02,-1.932697e-02,1.048135e-01,0.000000e+00
-1.142940e-02,1.220000e-01,5.000000e-01,5.000000e-02,-1.960555e-02,1.053287e-01,0.000000e+00
