Points_0,Points_1,Points_2,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
1.390000e-01,7.519531e-01,5.000000e-02,1.173062e-03,-2.809599e-03,0.000000e+00,-2.143517e-03,0.000000e+00,0.000000e+00
1.400000e-01,7.519531e-01,5.000000e-02,1.176089e-03,-2.801040e-03,0.000000e+00,-2.127189e-03,0.000000e+00,0.000000e+00
1.410000e-01,7.519531e-01,5.000000e-02,1.179038e-03,-2.793259e-03,0.000000e+00,-2.111460e-03,0.000000e+00,0.000000e+00
1.420000e-01,7.519531e-01,5.000000e-02,1.181856e-03,-2.786774e-03,0.000000e+00,-2.096728e-03,0.000000e+00,0.000000e+00
1.430000e-01,7.519531e-01,5.000000e-02,1.184675e-03,-2.780290e-03,0.000000e+00,-2.081996e-03,0.000000e+00,0.000000e+00
1.440000e-01,7.519531e-01,5.000000e-02,1.187493e-03,-2.773805e-03,0.000000e+00,-2.067264e-03,0.000000e+00,0.000000e+00
1.450000e-01,7.519531e-01,5.000000e-02,1.190312e-03,-2.767321e-03,0.000000e+00,-2.052532e-03,0.000000e+00,0.000000e+00
1.460000e-01,7.519531e-01,5.000000e-02,1.193130e-03,-2.760836e-03,0.000000e+00,-2.037799e-03,0.000000e+00,0.000000e+00
1.470000e-01,7.519531e-01,5.000000e-02,1.195948e-03,-2.754352e-03,0.000000e+00,-2.023067e-03,0.000000e+00,0.000000e+00
1.480000e-01,7.519531e-01,5.000000e-02,1.198767e-03,-2.747867e-03,0.000000e+00,-2.008335e-03,0.000000e+00,0.000000e+00
1.490000e-01,7.519531e-01,5.000000e-02,1.201478e-03,-2.742359e-03,0.000000e+00,-1.994456e-03,0.000000e+00,0.000000e+00
1.500000e-01,7.519531e-01,5.000000e-02,1.204104e-03,-2.737611e-03,0.000000e+00,-1.981242e-03,0.000000e+00,0.000000e+00
1.510000e-01,7.519531e-01,5.000000e-02,1.206731e-03,-2.732863e-03,0.000000e+00,-1.968027e-03,0.000000e+00,0.000000e+00
1.520000e-01,7.519531e-01,5.000000e-02,1.209358e-03,-2.728115e-03,0.000000e+00,-1.954812e-03,0.000000e+00,0.000000e+00
1.530000e-01,7.519531e-01,5.000000e-02,1.211985e-03,-2.723367e-03,0.000000e+00,-1.941597e-03,0.000000e+00,0.000000e+00
1.540000e-01,7.519531e-01,5.000000e-02,1.214612e-03,-2.718619e-03,0.000000e+00,-1.928382e-03,0.000000e+00,0.000000e+00
1.550000e-01,7.519531e-01,5.000000e-02,1.217238e-03,-2.713871e-03,0.000000e+00,-1.915167e-03,0.000000e+00,0.000000e+00
1.560000e-01,7.519531e-01,5.000000e-02,1.219865e-03,-2.709123e-03,0.000000e+00,-1.901952e-03,0.000000e+00,0.000000e+00
1.570000e-01,7.519531e-01,5.000000e-02,1.222387e-03,-2.705497e-03,0.000000e+00,-1.889794e-03,0.000000e+00,0.000000e+00
1.580000e-01,7.519531e-01,5.000000e-02,1.224874e-03,-2.702245e-03,0.000000e+00,-1.877987e-03,0.000000e+00,0.000000e+00
1.590000e-01,7.519531e-01,5.000000e-02,1.227361e-03,-2.698993e-03,0.000000e+00,-1.866181e-03,0.000000e+00,0.000000e+00
1.600000e-01,7.519531e-01,5.000000e-02,1.229849e-03,-2.695741e-03,0.000000e+00,-1.854374e-03,0.000000e+00,0.000000e+00
1.610000e-01,7.519531e-01,5.000000e-02,1.232336e-03,-2.692489e-03,0.000000e+00,-1.842567e-03,0.000000e+00,0.000000e+00
1.620000e-01,7.519531e-01,5.000000e-02,1.234823e-03,-2.689237e-03,0.000000e+00,-1.830761e-03,0.000000e+00,0.000000e+00
1.630000e-01,7.519531e-01,5.000000e-02,1.237310e-03,-2.685985e-03,0.000000e+00,-1.818954e-03,0.000000e+00,0.000000e+00
1.640000e-01,7.519531e-01,5.000000e-02,1.239797e-03,-2.682733e-03,0.000000e+00,-1.807147e-03,0.000000e+00,0.000000e+00
1.650000e-01,7.519531e-01,5.000000e-02,1.242231e-03,-2.680738e-03,0.000000e+00,-1.796540e-03,0.000000e+00,0.000000e+00
1.660000e-01,7.519531e-01,5.000000e-02,1.244661e-03,-2.678826e-03,0.000000e+00,-1.786013e-03,0.000000e+00,0.000000e+00
1.670000e-01,7.519531e-01,5.000000e-02,1.247092e-03,-2.676914e-03,0.000000e+00,-1.775486e-03,0.000000e+00,0.000000e+00
1.680000e-01,7.519531e-01,5.000000e-02,1.249522e-03,-2.675002e-03,0.000000e+00,-1.764959e-03,0.000000e+00,0.000000e+00
1.690000e-01,7.519531e-01,5.000000e-02,1.251952e-03,-2.673090e-03,0.000000e+00,-1.754432e-03,0.000000e+00,0.000000e+00
1.700000e-01,7.519531e-01,5.000000e-02,1.254383e-03,-2.671178e-03,0.000000e+00,-1.743905e-03,0.000000e+00,0.000000e+00
1.710000e-01,7.519531e-01,5.000000e-02,1.256813e-03,-2.669266e-03,0.000000e+00,-1.733377e-03,0.000000e+00,0.000000e+00
1.720000e-01,7.519531e-01,5.000000e-02,1.259270e-03,-2.667530e-03,0.000000e+00,-1.722993e-03,0.000000e+00,0.000000e+00
1.730000e-01,7.519531e-01,5.000000e-02,1.261919e-03,-2.667029e-03,0.000000e+00,-1.713604e-03,0.000000e+00,0.000000e+00
1.740000e-01,7.519531e-01,5.000000e-02,1.264568e-03,-2.666527e-03,0.000000e+00,-1.704216e-03,0.000000e+00,0.000000e+00
1.750000e-01,7.519531e-01,5.000000e-02,1.267217e-03,-2.666025e-03,0.000000e+00,-1.694828e-03,0.000000e+00,0.000000e+00
1.760000e-01,7.519531e-01,5.000000e-02,1.269866e-03,-2.665523e-03,0.000000e+00,-1.685439e-03,0.000000e+00,0.000000e+00
